"Timestamp", "close", "high", "low", "open", "volume"
1462376285,697.2100,697.3000,696.9400,697.2320,8000
1462376348,697.1200,697.1745,696.9400,697.1700,3200
1462376408,696.8000,697.2000,696.7950,697.1000,1800
1462376463,697.0200,697.0400,696.9000,697.0000,1800
1462376534,696.9900,696.9900,696.9900,696.9900,1700
1462376598,697.3499,697.3499,697.3499,697.3499,100
1462376641,697.0129,697.1800,696.9500,697.0900,3500
1462376702,697.0000,697.1700,696.9900,697.1700,1700
1462376766,697.5000,697.7400,697.1900,697.1900,2000
1462376821,697.1600,697.7399,697.1100,697.7399,1800
1462376891,697.2000,697.4600,697.1701,697.3000,3700
1462376940,697.5400,697.5400,697.0792,697.2100,2200
1462377004,697.3400,697.4900,697.3300,697.3840,1700
1462377068,697.5200,697.5437,697.4400,697.5437,1800
1462377192,697.5600,697.6800,697.0400,697.2200,2200
1462377240,697.4100,697.6000,697.4100,697.4400,1600
1462377307,697.5000,697.5000,697.3600,697.3900,2400
1462377370,697.2301,697.5004,697.2301,697.5004,600
1462377450,697.5900,697.6000,697.3600,697.5000,3000
1462377500,697.4500,697.7200,697.4100,697.6000,2400
1462377542,697.4450,697.7400,697.4450,697.4900,2000
1462377605,697.6800,698.0000,697.6800,698.0000,7200
1462377672,698.1700,698.1975,697.7700,697.8403,2400
1462377731,698.0500,698.0500,698.0500,698.0500,1300
1462377790,698.2000,698.2000,698.0550,698.0600,3200
1462377846,698.0000,698.1977,698.0000,698.0800,1600
1462377916,699.0500,699.2100,698.0600,698.0600,20400
1462377968,699.1800,699.2100,699.0053,699.0500,2500
1462378026,699.2500,699.3600,698.9400,698.9900,3000
1462378082,698.9800,699.3699,698.9800,699.0100,1200
1462378146,699.1550,699.1883,698.9100,699.1883,1800
1462378203,699.3300,699.3300,698.7650,698.7650,1600
1462378271,699.3750,699.3750,699.3000,699.3000,1100
1462378343,699.1300,699.3000,699.1300,699.2200,1900
1462378381,699.2500,699.3300,699.2120,699.2120,1700
1462378441,699.5500,699.6900,699.3800,699.4700,5400
1462378557,699.3480,699.7500,699.2400,699.6400,6200
1462378560,699.1400,699.2000,699.1100,699.1488,2200
1462378692,699.4200,699.5000,699.0500,699.0600,2400
1462378752,699.4189,699.5000,699.2600,699.2900,2300
1462378858,699.5250,699.5250,699.3000,699.5000,2400
1462378860,699.4200,699.5400,699.2000,699.4450,4300
1462378921,699.2300,699.6300,699.1600,699.3600,3300
1462378994,699.2298,699.4200,699.1300,699.4100,1800
1462379044,699.3500,699.3500,699.2900,699.2900,1600
1462379125,699.4400,699.5500,699.1900,699.1900,2500
1462379193,699.1550,699.1600,699.1100,699.1600,3300
1462379220,698.6750,699.4590,698.6750,699.0000,11800
1462379282,698.0000,699.0650,698.0000,698.8100,31800
1462379344,697.6000,698.0200,697.4710,698.0100,7500
1462379403,697.5578,697.8026,697.4200,697.8026,2100
1462379462,697.4450,697.6600,697.3500,697.5200,1600
1462379553,696.5700,697.4496,696.5700,697.4496,4000
1462379587,697.0625,697.0625,696.5247,696.8235,6800
1462379645,696.5000,696.9300,696.5000,696.9300,3400
1462379719,696.5800,696.7399,696.5708,696.7380,3600
1462379766,696.2000,696.4200,696.1500,696.4200,1400
1462379834,695.8500,696.2000,695.8000,696.2000,5800
1462379886,695.7100,695.8200,695.7000,695.7400,2200
1462379957,696.3000,696.3000,695.4000,695.7500,6000
1462380033,695.4900,695.7500,695.4900,695.7500,1000
1462380068,695.5700,695.5700,695.5500,695.5500,400
1462380166,695.8900,695.8900,695.6273,695.6273,500
1462380225,695.9400,695.9900,695.6030,695.6714,3700
1462380298,695.9900,695.9900,695.9400,695.9900,1300
1462380300,696.4000,696.4000,695.9500,695.9500,1800
